cable_id,from_device,from_terminal,to_device,to_terminal,cable_class,shield_termination,state,notes
CMD-YL,MR1 interface,JYL,CL57T Y-left,P1 PUL+/PUL-/DIR+/DIR-,2 shielded twisted pairs,360deg cabinet clamp,TBD,Octopus MOTOR1 PG0/PG1/PF15. ENA unconnected - CL57T default. S3 MUST be 5V; 24V into a 5V-set input destroys the photocoupler
CMD-Z,MR1 interface,JZ,CL57T Z,P1 PUL+/PUL-/DIR+/DIR-,2 shielded twisted pairs,360deg cabinet clamp,TBD,Octopus MOTOR2 PF11/PG3/PG5. ENA unconnected - CL57T default. S3 MUST be 5V; 24V into a 5V-set input destroys the photocoupler
CMD-YR,MR1 interface,JYR,CL57T Y-right,P1 PUL+/PUL-/DIR+/DIR-,2 shielded twisted pairs,360deg cabinet clamp,TBD,Octopus MOTOR3 PG4/PC1/PA2 v1.1. ENA unconnected - CL57T default. S3 MUST be 5V; 24V into a 5V-set input destroys the photocoupler
MOT-X,CL57T X,P3 A+/A-/B+/B-,X CL57T motor,GX16 motor lead,"kit motor extension 1.7 m moulded, or terminated shielded cable if run exceeds it",360-deg bond at cabinet entry; moulded ends cannot be cut - see PIGTAIL_SCHEDULE.md,TBD,RUN LENGTH NOT YET MEASURED. Never use color as phase truth; do not hot plug; keep clear of encoder run
MOT-YL,CL57T Y-left,P3 A+/A-/B+/B-,Y-left CL57T motor,GX16 motor lead,"kit motor extension 1.7 m moulded, or terminated shielded cable if run exceeds it",360-deg bond at cabinet entry; moulded ends cannot be cut - see PIGTAIL_SCHEDULE.md,TBD,RUN LENGTH NOT YET MEASURED. Never use color as phase truth; do not hot plug; keep clear of encoder run
MOT-Z,CL57T Z,P3 A+/A-/B+/B-,Z CL57T motor,GX16 motor lead,"kit motor extension 1.7 m moulded, or terminated shielded cable if run exceeds it",360-deg bond at cabinet entry; moulded ends cannot be cut - see PIGTAIL_SCHEDULE.md,TBD,RUN LENGTH NOT YET MEASURED. Never use color as phase truth; do not hot plug; keep clear of encoder run
MOT-YR,CL57T Y-right,P3 A+/A-/B+/B-,Y-right CL57T motor,GX16 motor lead,"kit motor extension 1.7 m moulded, or terminated shielded cable if run exceeds it",360-deg bond at cabinet entry; moulded ends cannot be cut - see PIGTAIL_SCHEDULE.md,TBD,RUN LENGTH NOT YET MEASURED. Never use color as phase truth; do not hot plug; keep clear of encoder run
ENC-X,CL57T X motor,encoder,CL57T X,encoder input,"kit encoder extension 1.7 m moulded, or shielded twisted pair if run exceeds it",per kit cable,TBD,RUN LENGTH NOT YET MEASURED. P2 encoder: EA+/EA-/EB+/EB-/VCC/EGND. VCC is drive-supplied 5V - do not feed from field supply. Keep separate from motor phases
ENC-YL,CL57T Y-left motor,encoder,CL57T Y-left,encoder input,"kit encoder extension 1.7 m moulded, or shielded twisted pair if run exceeds it",per kit cable,TBD,RUN LENGTH NOT YET MEASURED. P2 encoder: EA+/EA-/EB+/EB-/VCC/EGND. VCC is drive-supplied 5V - do not feed from field supply. Keep separate from motor phases
ENC-Z,CL57T Z motor,encoder,CL57T Z,encoder input,"kit encoder extension 1.7 m moulded, or shielded twisted pair if run exceeds it",per kit cable,TBD,RUN LENGTH NOT YET MEASURED. P2 encoder: EA+/EA-/EB+/EB-/VCC/EGND. VCC is drive-supplied 5V - do not feed from field supply. Keep separate from motor phases
ENC-YR,CL57T Y-right motor,encoder,CL57T Y-right,encoder input,"kit encoder extension 1.7 m moulded, or shielded twisted pair if run exceeds it",per kit cable,TBD,RUN LENGTH NOT YET MEASURED. P2 encoder: EA+/EA-/EB+/EB-/VCC/EGND. VCC is drive-supplied 5V - do not feed from field supply. Keep separate from motor phases
ALM-X,CL57T X,P1 ALM/COMO,MR1 interface,JFX,shielded pair/field logic,one planned field termination,HOLD,ALM/COMO first enters its own current-limited isolated conditioner. NEVER series-chain raw terminals to PB1. Only qualified healthy outputs feed the supervised PB1 aggregate; PG12 is separate indication only. Characterize healthy/alarm/power-loss/open-cable behavior; healthy-open requires extra supervision.
ALM-YL,CL57T Y-left,P1 ALM/COMO,MR1 interface,JFYL,shielded pair/field logic,one planned field termination,HOLD,ALM/COMO first enters its own current-limited isolated conditioner. NEVER series-chain raw terminals to PB1. Only qualified healthy outputs feed the supervised PB1 aggregate; PG13 is separate indication only. Characterize healthy/alarm/power-loss/open-cable behavior; healthy-open requires extra supervision.
ALM-Z,CL57T Z,P1 ALM/COMO,MR1 interface,JFZ,shielded pair/field logic,one planned field termination,HOLD,ALM/COMO first enters its own current-limited isolated conditioner. NEVER series-chain raw terminals to PB1. Only qualified healthy outputs feed the supervised PB1 aggregate; PG14 is separate indication only. Characterize healthy/alarm/power-loss/open-cable behavior; healthy-open requires extra supervision.
ALM-YR,CL57T Y-right,P1 ALM/COMO,MR1 interface,JFYR,shielded pair/field logic,one planned field termination,HOLD,ALM/COMO first enters its own current-limited isolated conditioner. NEVER series-chain raw terminals to PB1. Only qualified healthy outputs feed the supervised PB1 aggregate; PG15 is separate indication only. Characterize healthy/alarm/power-loss/open-cable behavior; healthy-open requires extra supervision.
HOME-FIELD-X,Stock X home harness,UNRESOLVED signal conductor,Unqualified home conditioner candidate,UNRESOLVED field input,stock harness,verify after trace,HOLD,"Trace actual stock supply/return/independent signal and actual module circuit before defining terminals. No color, VCC or input-polarity assumptions. Preserve harness; no stock 5V on Octopus GPIO. Qualification: INTERFACE_BOARD.md A2."
HOME-FIELD-YL,Stock Y-left home harness,UNRESOLVED signal conductor,Unqualified home conditioner candidate,UNRESOLVED field input,stock harness,verify after trace,HOLD,"Trace actual stock supply/return/independent signal and actual module circuit before defining terminals. No color, VCC or input-polarity assumptions. Preserve harness; no stock 5V on Octopus GPIO. Qualification: INTERFACE_BOARD.md A2."
HOME-FIELD-Z,Stock Z home harness,UNRESOLVED signal conductor,Unqualified home conditioner candidate,UNRESOLVED field input,stock harness,verify after trace,HOLD,"Trace actual stock supply/return/independent signal and actual module circuit before defining terminals. No color, VCC or input-polarity assumptions. Preserve harness; no stock 5V on Octopus GPIO. Qualification: INTERFACE_BOARD.md A2."
HOME-FIELD-YR,Stock Y-right home harness,UNRESOLVED signal conductor,Unqualified home conditioner candidate,UNRESOLVED field input,stock harness,verify after trace,HOLD,"Trace actual stock supply/return/independent signal and actual module circuit before defining terminals. No color, VCC or input-polarity assumptions. Preserve harness; no stock 5V on Octopus GPIO. Qualification: INTERFACE_BOARD.md A2."
HOME-LOGIC-X,Unqualified home conditioner candidate,UNRESOLVED qualified output plus logic return,Octopus Pro,STOP0 PG6/GND,twisted pair,none,HOLD,"Intended GPIO destination only, actual conditioner wiring unreleased. STOP 5V cavity empty. No generic floating-VCC recipe: shared pullups may couple channels. Prove healthy low / trigger-open-powerloss high and cross-channel independence per INTERFACE_BOARD.md A2."
HOME-LOGIC-YL,Unqualified home conditioner candidate,UNRESOLVED qualified output plus logic return,Octopus Pro,STOP1 PG9/GND,twisted pair,none,HOLD,"Intended GPIO destination only, actual conditioner wiring unreleased. STOP 5V cavity empty. No generic floating-VCC recipe: shared pullups may couple channels. Prove healthy low / trigger-open-powerloss high and cross-channel independence per INTERFACE_BOARD.md A2."
HOME-LOGIC-Z,Unqualified home conditioner candidate,UNRESOLVED qualified output plus logic return,Octopus Pro,STOP2 PG10/GND,twisted pair,none,HOLD,"Intended GPIO destination only, actual conditioner wiring unreleased. STOP 5V cavity empty. No generic floating-VCC recipe: shared pullups may couple channels. Prove healthy low / trigger-open-powerloss high and cross-channel independence per INTERFACE_BOARD.md A2."
HOME-LOGIC-YR,Unqualified home conditioner candidate,UNRESOLVED qualified output plus logic return,Octopus Pro,STOP3 PG11/GND,twisted pair,none,HOLD,"Intended GPIO destination only, actual conditioner wiring unreleased. STOP 5V cavity empty. No generic floating-VCC recipe: shared pullups may couple channels. Prove healthy low / trigger-open-powerloss high and cross-channel independence per INTERFACE_BOARD.md A2."
PROBE-01,MR-1 touch probe,V+/SIG/0V,MR1 interface,JP ISO5V/SIG/ISO0V,flexible shielded 3-core,shield to cabinet only,HOLD,Meter actual sensor before power; controller PF5
TOOL-01,MR-1 tool setter,V+/SIG/0V,MR1 interface,JT ISO5V/SIG/ISO0V,flexible shielded 3-core,shield to cabinet only,HOLD,Meter actual sensor before power; controller PB7
SAFE-MON,Safety relay,contact CLOSED while energized (NO output/aux; NOT an NC aux) - terminal UNSELECTED,Octopus Pro,TB PF3/GND,twisted pair,none,TBD,"Monitor only; never route safety channels through Octopus. PF3 high = E-stop, so the contact must be closed to GND while the relay is energized and open on E-stop, trip or broken wire. Never invert $14 to fix a wrong contact. Commissioning: E-stop pressed and monitor wire unplugged both read Pn:E"
DOOR-MON,Door switch,NC monitor contact,Octopus Pro,PWR-DET PC0/GND,twisted pair,none,TBD,Do not connect adjacent 3V3
HOLD-01,Feed-hold button,NC contact,Octopus Pro,T0 PF4/GND,twisted pair,none,TBD,Software control only
START-01,Guarded cycle-start,NO contact,Octopus Pro,EXP2 PB2/GND,twisted pair,none,TBD,Only NO operator input
FAULT-AGG,Fault conditioner,healthy-low output,Octopus Pro,EXP2 PB1/GND,shielded pair,one planned field termination,HOLD,Only a qualified supervised aggregate feeds PB1; include all four drive healthy outputs and required cabinet/spindle fault sources. Raw field outputs forbidden. PG12-PG15 indication alone cannot stop motion.
SP-PWM,Octopus Pro,FAN0 positive / PA8 switched negative,MR1 interface,SPINDLE_PWM_24,twisted pair,none,HOLD,FAN0 positive is jumper-selected 5V/12V/VIN; actual selection/load rating unverified. Two-wire input across positive and switched negative; never bond negative to logic GND. Converter/servo remain HOLD.
SP-ANALOG,MR1 interface,0-5V/ANALOG_COM,MR-1 servo DB44,community pins 26/10,shielded analog pair,per verified servo design,HOLD,Continuity-map actual DB44 first
SP-ENABLE,MR1 interface,dry relay contact,MR-1 servo DB44,community pin 16 and verified return,shielded pair,none,HOLD,Series with hardwired spindle permit. SON dropout is not the E-stop: removing servo energy (mains contactor and/or certified STO) is part of the HOLD cabinet stop design
SP-ALARM,MR-1 servo DB44,community pin 5/return,MR1 interface,aggregate-fault input,shielded pair,one planned field termination,HOLD,Optional only after servo alarm is verified
SP-RS485-LOGIC,Octopus Pro,candidate USART2 PD5/PD6,Spindle supervision interface,isolated UART side,short logic pair,none,HOLD,MODBUS_ENABLE=0; do not connect before approved MCU/drive profile
SP-RS485-FIELD,Spindle supervision interface,isolated RS485 A/B,MR-1 servo drive,verified RS485 connector/pins,shielded twisted pair,verified cabinet termination,HOLD,Generic CN1 40/41/42 reference is not installed-drive proof
SP-STATUS,MR-1 servo drive,verified SRDY/ALM/ASP/ZSP/COIN-PtoS outputs,Spindle supervision interface,isolated 12-24V inputs,shielded multi-pair,verified cabinet termination,HOLD,Assignment and polarity must come from archived installed parameters
SP-CONTROL,Spindle supervision interface,isolated SON/CMODE/ACLR outputs,MR-1 servo drive,verified digital inputs,shielded multi-pair,verified cabinet termination,HOLD,SON passes through hardwired permission; CMODE and ACLR remain locked
SP-ENCODER,MR-1 servo drive,verified OA/OB/OZ differential pairs,Spindle supervision interface,isolated RS422 receiver,3 shielded twisted pairs,per verified encoder design,HOLD,No STM32 timer pins assigned; never land encoder pairs directly on GPIO
SP-INDEX,Spindle-side index sensor,UNSELECTED,Spindle supervision interface,conditioned index input,shielded pair,verified sensor design,HOLD,One pulse per spindle revolution; rigid mount and coolant protection required
SP-ORIENT,Octopus Pro,UNASSIGNED differential step-direction source,Spindle supervision interface,future position-command line driver,2 shielded twisted pairs,verified cabinet termination,HOLD,M19 stage only; no board pins or electronic gearing approved
FLOOD-CTL,Octopus Pro,HE0 positive / PA0 switched negative,MR1 interface,flood relay input,twisted pair,none,HOLD,Positive is fused VIN; verify actual voltage and qualified load/suppression. Connect input across positive and switched negative. Never bond switched negative to logic GND. Load and startup/off behavior remain unqualified.
MIST-CTL,Octopus Pro,HE1 positive / PA3 switched negative,MR1 interface,mist/air relay input,twisted pair,none,HOLD,Positive is fused VIN; verify actual voltage and qualified load/suppression. Connect input across positive and switched negative. Never bond switched negative to logic GND. Load and startup/off behavior remain unqualified.
USB-01,Windows mini PC,USB,Octopus Pro,USB-C,shielded USB cable,chassis through connector,TBD,Use the custom MR1 native controller with verified grblHAL identity; USB may add a logic-ground/PE path. Record that path; never treat USB as proof of power isolation.
TEMP-SPINDLE,ESP32 AMOLED,UNASSIGNED,ordered temperature sensor,UNVERIFIED,short flexible cable,none,HOLD,Identify exact sensor and pinout before wiring; DS18B20 H2 map is conditional only
